probe,trange_start,trange_end,interval_tag
d,2018-04-14/02:00,2018-04-14/09:00,beam_period
d,2018-04-16/22:00,2018-04-16/23:00,beam_period
d,2018-04-17/20:00,2018-04-18/00:00,beam_period
d,2018-04-18/00:00,2018-04-18/08:00,beam_period
d,2018-04-19/08:00,2018-04-19/12:00,beam_period
d,2018-04-21/21:00,2018-04-22/00:00,beam_period
d,2018-04-22/00:00,2018-04-22/06:00,beam_period
d,2018-04-24/18:00,2018-04-24/21:00,beam_period
d,2018-04-26/00:00,2018-04-26/10:00,beam_period
d,2018-04-20/18:00,2018-04-20/20:00,beam_period
d,2018-05-03/20:00,2018-05-03/23:00,beam_period
d,2018-05-06/19:00,2018-05-06/23:00,beam_period
d,2018-05-08/00:00,2018-05-08/06:00,beam_period
d,2018-05-12/00:00,2018-05-12/06:00,beam_period
d,2018-05-24/01:00,2018-05-24/06:00,beam_period
d,2018-05-26/21:00,2018-05-26/22:00,beam_period
d,2018-05-31/18:00,2018-06-01/00:00,beam_period
